LoksabhaName,VidhansabhaName,NormalizedName,ClosestTabSuggestion
Ajmer,Ajmer North,ajmer north,Ajmer South 
Ajmer,Pushkar,pushkar,Pushakar
Alwar,Kishangarhbas,kishangarhbas,Kishangarh Bas
Alwar,Mundawar,mundawar,Mandawar
Barmer Jaisalmer,Chohatan,chohatan,Chohtan
Barmer Jaisalmer,Gudamalani,gudamalani,Gudha Malani
Bhilwara,Bhilwara,bhilwara,
Bikaner,Nokha,nokha,Nohar
Ganganagar,Ganganagar,ganganagar,Taranagar
Jaipur,Adrash Nagar,adrash nagar,Adarsh Nagar
Jaipur,Bagru,bagru,
Jaipur,Hawamahal,hawamahal,Hawa Mahal
Jaipur,Malviya Nagar,malviya nagar,Virat Nagar
Jaipur,Sanganer,sanganer,Sangaria
Jaipur Rural,Jamwaramgarh,jamwaramgarh,Dantaramgarh
Jaipur Rural,Kotputli,kotputli,
Jaipur Rural,Viratnagar,viratnagar,Virat Nagar
Jalore,Jalore,jalore,Jalor
Jalore,Reodar,reodar,Reoder
Jhalawar,Jhalrapatan,jhalrapatan,Jhalarapatan
Jodhpur,Jodhpur,jodhpur,
Jodhpur,Lohawat,lohawat,
Jodhpur,Luni,luni,
Jodhpur,Phalodi,phalodi,Pali
Jodhpur,Pokaran,pokaran,
Jodhpur,Sardarpura,sardarpura,
Jodhpur,Shergarh,shergarh,
Jodhpur,Soorsagar,soorsagar,
Nagaur,Ladnun,ladnun,Ladnu
Pali,Bhopalgarh,bhopalgarh,Kumbhalgarh
Pali,Bilara,bilara,
Pali,Marwar Juction,marwar juction,Marwar Junction
Pali,Osian,osian,Siwana
Rajsamand,Rajsamand,rajsamand,Rajasamand
Tonk-Sawaimadhopur,Gangapur,gangapur,Gangapur City
Tonk-Sawaimadhopur,Malpura,malpura,
Tonk-Sawaimadhopur,Niwai,niwai,
Udaipur,Dhariwad,dhariwad,Dhariawad
Udaipur,Udaipur Urban,udaipur urban,Udaipur Rural 
