LoksabhaName,VidhansabhaName,LocalUnitName,LocalUnitType
Jaipur Rural,Amber,Achrol,Gram Panchayat
Jaipur Rural,Amber,Akera Dungar,Gram Panchayat
Jaipur Rural,Amber,Akhepura,Gram Panchayat
Jaipur Rural,Amber,Bagwara,Gram Panchayat
Jaipur Rural,Amber,Bhilpur,Gram Panchayat
Jaipur Rural,Amber,Bilochi,Gram Panchayat
Jaipur Rural,Amber,Chandwaji,Gram Panchayat
Jaipur Rural,Amber,Chhaprari,Gram Panchayat
Jaipur Rural,Amber,Chitanu Kalan,Gram Panchayat
Jaipur Rural,Amber,Choup,Gram Panchayat
Jaipur Rural,Amber,Daulat Pura,Gram Panchayat
Jaipur Rural,Amber,Devkaharwada,Gram Panchayat
Jaipur Rural,Amber,Dand,Gram Panchayat
Jaipur Rural,Amber,Ghatwara,Gram Panchayat
Jaipur Rural,Amber,Kanth,Gram Panchayat
Jaipur Rural,Amber,Kovarpura,Gram Panchayat
Jaipur Rural,Amber,Khorameena,Gram Panchayat
Jaipur Rural,Amber,Kukkas,Gram Panchayat
Jaipur Rural,Amber,Labana,Gram Panchayat
Jaipur Rural,Amber,Lakher,Gram Panchayat
Jaipur Rural,Amber,Manpura Macheri,Gram Panchayat
Jaipur Rural,Amber,Nangal Susawatan,Gram Panchayat
Jaipur Rural,Amber,Rundal,Gram Panchayat
Jaipur Rural,Amber,Shyampura,Gram Panchayat
Jaipur Rural,Amber,Sirohi,Gram Panchayat
Jaipur Rural,Amber,Anop Pura,Gram Panchayat
Jaipur Rural,Amber,Barna,Gram Panchayat
Jaipur Rural,Amber,Bhatton Ki Gali (BHATTON KI GALI),Gram Panchayat
Jaipur Rural,Amber,Bheelpura (भीलपुरा),Gram Panchayat
Jaipur Rural,Amber,Bhurthal,Gram Panchayat
Jaipur Rural,Amber,Biharipura,Gram Panchayat
Jaipur Rural,Amber,Bugaliya (बुगालिया),Gram Panchayat
Jaipur Rural,Amber,Chatarpura,Gram Panchayat
Jaipur Rural,Amber,Devgudha,Gram Panchayat
Jaipur Rural,Amber,Durga Ka Bas,Gram Panchayat
Jaipur Rural,Amber,Govindpura (गोविन्दपुरा),Gram Panchayat
Jaipur Rural,Amber,Gudhasurjan (गुढासुर्जन),Gram Panchayat
Jaipur Rural,Amber,Hardattpura (हरदत्तपुरा),Gram Panchayat
Jaipur Rural,Amber,Jahota,Gram Panchayat
Jaipur Rural,Amber,Jairampura,Gram Panchayat
Jaipur Rural,Amber,Jaisinghpura Shekhawatan,Gram Panchayat
Jaipur Rural,Amber,Jalsoo,Gram Panchayat
Jaipur Rural,Amber,Khannipura,Gram Panchayat
Jaipur Rural,Amber,Khora Bisal,Gram Panchayat
Jaipur Rural,Amber,Khora Shyamdas,Gram Panchayat
Jaipur Rural,Amber,Maheshwas Kalan,Gram Panchayat
Jaipur Rural,Amber,Mundota,Gram Panchayat
Jaipur Rural,Amber,Nangal Bichpadi,Gram Panchayat
Jaipur Rural,Amber,Nangalpurohitan,Gram Panchayat
Jaipur Rural,Amber,Nangalsiras,Gram Panchayat
Jaipur Rural,Amber,Punana,Gram Panchayat
Jaipur Rural,Amber,Radhakishanpura,Gram Panchayat
Jaipur Rural,Amber,Raithal,Gram Panchayat
Jaipur Rural,Amber,Rajawas,Gram Panchayat
Jaipur Rural,Amber,Rampura Dabri,Gram Panchayat
Jaipur Rural,Amber,Rojda,Gram Panchayat
Jaipur Rural,Amber,Sewapura,Gram Panchayat
Jaipur Rural,Amber,Sirsali,Gram Panchayat
Jaipur Rural,Amber,Udaypuriya (उदयपुरिया),Gram Panchayat
Jaipur Rural,Amber,1,Ward
Jaipur Rural,Amber,2,Ward
Jaipur Rural,Amber,3,Ward
Jaipur Rural,Amber,4,Ward
Jaipur Rural,Jhotwara,Asal Pur,Gram Panchayat
Jaipur Rural,Jhotwara,Baber Walo Ki Dhani,Gram Panchayat
Jaipur Rural,Jhotwara,Bassi Jhajhra (बस्सी झांझडा),Gram Panchayat
Jaipur Rural,Jhotwara,Bassinaga,Gram Panchayat
Jaipur Rural,Jhotwara,Bhainsawa,Gram Panchayat
Jaipur Rural,Jhotwara,Bhojpura Kalan,Gram Panchayat
Jaipur Rural,Jhotwara,Bobas,Gram Panchayat
Jaipur Rural,Jhotwara,Dehra,Gram Panchayat
Jaipur Rural,Jhotwara,Dhani Boraj,Gram Panchayat
Jaipur Rural,Jhotwara,Dhani Nagan,Gram Panchayat
Jaipur Rural,Jhotwara,Doongari Khurd,Gram Panchayat
Jaipur Rural,Jhotwara,Doongri Kalan,Gram Panchayat
Jaipur Rural,Jhotwara,Hingoniya,Gram Panchayat
Jaipur Rural,Jhotwara,Idan Ka Bas,Gram Panchayat
Jaipur Rural,Jhotwara,Jorpura (sundriwas),Gram Panchayat
Jaipur Rural,Jhotwara,Jorpura Jobner (JORPURA JOBNER),Gram Panchayat
Jaipur Rural,Jhotwara,Kalakh,Gram Panchayat
Jaipur Rural,Jhotwara,Karansar,Gram Panchayat
Jaipur Rural,Jhotwara,Khejdawas,Gram Panchayat
Jaipur Rural,Jhotwara,Kudiyo Ka Bas,Gram Panchayat
Jaipur Rural,Jhotwara,Loharwara,Gram Panchayat
Jaipur Rural,Jhotwara,Murlipura,Gram Panchayat
Jaipur Rural,Jhotwara,Begus,Gram Panchayat
Jaipur Rural,Jhotwara,Bhambhori,Gram Panchayat
Jaipur Rural,Jhotwara,Boytawala,Gram Panchayat
Jaipur Rural,Jhotwara,Dhankya,Gram Panchayat
Jaipur Rural,Jhotwara,Durjaniyawas,Gram Panchayat
Jaipur Rural,Jhotwara,Fatehpura,Gram Panchayat
Jaipur Rural,Jhotwara,Hathoj,Gram Panchayat
Jaipur Rural,Jhotwara,Kalwar,Gram Panchayat
Jaipur Rural,Jhotwara,Machawa,Gram Panchayat
Jaipur Rural,Jhotwara,Mandha Bhopawas,Gram Panchayat
Jaipur Rural,Jhotwara,Mundiya Ramsar,Gram Panchayat
Jaipur Rural,Jhotwara,Nimeda,Gram Panchayat
Jaipur Rural,Jhotwara,Niwaroo,Gram Panchayat
Jaipur Rural,Jhotwara,Pachar,Gram Panchayat
Jaipur Rural,Jhotwara,Peethawas,Gram Panchayat
Jaipur Rural,Jhotwara,Sabrampura (सबरामपुरा),Gram Panchayat
Jaipur Rural,Jhotwara,Sarna Chour,Gram Panchayat
Jaipur Rural,Jhotwara,Sarna Doongar,Gram Panchayat
Jaipur Rural,Jhotwara,Shyosingh Pura @ Shyopura,Gram Panchayat
Jaipur Rural,Jhotwara,43,Ward
Jaipur Rural,Jhotwara,44,Ward
Jaipur Rural,Jhotwara,45,Ward
Jaipur Rural,Jhotwara,46,Ward
Jaipur Rural,Jhotwara,47,Ward
Jaipur Rural,Jhotwara,48,Ward
Jaipur Rural,Jhotwara,49,Ward
Jaipur Rural,Jhotwara,50,Ward
Jaipur Rural,Jhotwara,51,Ward
Jaipur Rural,Jhotwara,52,Ward
Jaipur Rural,Jhotwara,53,Ward
Jaipur Rural,Jhotwara,54,Ward
Jaipur Rural,Jhotwara,55,Ward
Jaipur Rural,Jhotwara,56,Ward
Jaipur Rural,Jhotwara,57,Ward
Jaipur Rural,Jhotwara,58,Ward
Jaipur Rural,Jhotwara,59,Ward
Jaipur Rural,Jhotwara,60,Ward
Jaipur Rural,Jhotwara,61,Ward
Jaipur Rural,Jhotwara,62,Ward
Jaipur Rural,Jhotwara,63,Ward
Jaipur Rural,Jhotwara,64,Ward
Jaipur,Vidhyadhar Nagar,1,Ward
Jaipur,Vidhyadhar Nagar,2,Ward
Jaipur,Vidhyadhar Nagar,3,Ward
Jaipur,Vidhyadhar Nagar,4,Ward
Jaipur,Vidhyadhar Nagar,5,Ward
Jaipur,Vidhyadhar Nagar,6,Ward
Jaipur,Vidhyadhar Nagar,7,Ward
Jaipur,Vidhyadhar Nagar,8,Ward
Jaipur,Vidhyadhar Nagar,9,Ward
Jaipur,Vidhyadhar Nagar,10,Ward
Jaipur,Vidhyadhar Nagar,11,Ward
Jaipur,Vidhyadhar Nagar,12,Ward
Jaipur,Vidhyadhar Nagar,13,Ward
Jaipur,Vidhyadhar Nagar,14,Ward
Jaipur,Vidhyadhar Nagar,15,Ward
Jaipur,Vidhyadhar Nagar,16,Ward
Jaipur,Vidhyadhar Nagar,17,Ward
Jaipur,Vidhyadhar Nagar,18,Ward
Jaipur,Vidhyadhar Nagar,19,Ward
Jaipur,Vidhyadhar Nagar,20,Ward
Jaipur,Vidhyadhar Nagar,21,Ward
Jaipur,Vidhyadhar Nagar,22,Ward
Jaipur,Vidhyadhar Nagar,23,Ward
Jaipur,Vidhyadhar Nagar,24,Ward
Jaipur,Vidhyadhar Nagar,25,Ward
Jaipur,Vidhyadhar Nagar,26,Ward
Jaipur,Vidhyadhar Nagar,27,Ward
Jaipur,Vidhyadhar Nagar,28,Ward
Jaipur,Vidhyadhar Nagar,29,Ward
Jaipur,Vidhyadhar Nagar,30,Ward
Jaipur,Vidhyadhar Nagar,31,Ward
Jaipur,Vidhyadhar Nagar,32,Ward
Jaipur,Vidhyadhar Nagar,33,Ward
Jaipur,Vidhyadhar Nagar,34,Ward
Jaipur,Vidhyadhar Nagar,35,Ward
Jaipur,Vidhyadhar Nagar,36,Ward
Jaipur,Vidhyadhar Nagar,37,Ward
Jaipur,Vidhyadhar Nagar,38,Ward
Jaipur,Vidhyadhar Nagar,39,Ward
Jaipur,Vidhyadhar Nagar,40,Ward
Jaipur,Vidhyadhar Nagar,41,Ward
Jaipur,Vidhyadhar Nagar,42,Ward
Jhalawar,Anta,AMALSARA,Gram Panchayat
Jhalawar,Anta,BALA KHERA,Gram Panchayat
Jhalawar,Anta,BALDARA,Gram Panchayat
Jhalawar,Anta,BAMOOLIYA MATAJI,Gram Panchayat
Jhalawar,Anta,BAMOOLYA KALAN,Gram Panchayat
Jhalawar,Anta,BARGAON,Gram Panchayat
Jhalawar,Anta,BARWA,Gram Panchayat
Jhalawar,Anta,BHOJIYA KHERI,Gram Panchayat
Jhalawar,Anta,BIJORA,Gram Panchayat
Jhalawar,Anta,BMOOLYA KALAN,Gram Panchayat
Jhalawar,Anta,CHAHEDIYA,Gram Panchayat
Jhalawar,Anta,JAINAGAR,Gram Panchayat
Jhalawar,Anta,KACHRI,Gram Panchayat
Jhalawar,Anta,KHAJOORNA KALAN,Gram Panchayat
Jhalawar,Anta,MIRZAPUR,Gram Panchayat
Jhalawar,Anta,NAGADA,Gram Panchayat
Jhalawar,Anta,NIYANA,Gram Panchayat
Jhalawar,Anta,PACHEL KALAN,Gram Panchayat
Jhalawar,Anta,PALAYTHA,Gram Panchayat
Jhalawar,Anta,PALSAWA,Gram Panchayat
Jhalawar,Anta,PATOONDA,Gram Panchayat
Jhalawar,Anta,RATADIYA,Gram Panchayat
Jhalawar,Anta,SORKHAND KALAN,Gram Panchayat
Jhalawar,Anta,SORSAN,Gram Panchayat
Jhalawar,Anta,THEEKARIYA,Gram Panchayat
Jhalawar,Anta,BAMORI KALAN,Gram Panchayat
Jhalawar,Anta,BHATWARA,Gram Panchayat
Jhalawar,Anta,BOHAT,Gram Panchayat
Jhalawar,Anta,CHATRAPURA,Gram Panchayat
Jhalawar,Anta,HINGONIYA,Gram Panchayat
Jhalawar,Anta,ISHARPURA,Gram Panchayat
Jhalawar,Anta,JALODA TEJAJI,Gram Panchayat
Jhalawar,Anta,JARELA,Gram Panchayat
Jhalawar,Anta,KISHANPURA,Gram Panchayat
Jhalawar,Anta,MAHALPUR,Gram Panchayat
Jhalawar,Anta,MAHUWA,Gram Panchayat
Jhalawar,Anta,MAL BAMORI,Gram Panchayat
Jhalawar,Anta,MAU,Gram Panchayat
Jhalawar,Anta,RAITHAL,Gram Panchayat
Jhalawar,Anta,SEESWALI,Gram Panchayat
Jhalawar,Anta,SHAHPURA,Gram Panchayat
Jhalawar,Anta,TISAYA,Gram Panchayat
Jhalawar,Anta,UDPURIYA,Gram Panchayat
Jhalawar,Anta,BADAN,Gram Panchayat
Jhalawar,Anta,BAMLA,Gram Panchayat
Jhalawar,Anta,BEGNA,Gram Panchayat
Jhalawar,Anta,IKLERA,Gram Panchayat
Jhalawar,Anta,KHERALI,Gram Panchayat
Jhalawar,Anta,KOTRISUNDA,Gram Panchayat
Jhalawar,Anta,KOYLA,Gram Panchayat
Jhalawar,Anta,MIYADA,Gram Panchayat
Jhalawar,Anta,RATAWAD,Gram Panchayat
Jhalawar,Anta,SEEMLI,Gram Panchayat
Jhalawar,Anta,THAMLI,Gram Panchayat
Jhalawar,Anta,TISAYA,Gram Panchayat
Jhalawar,Anta,TULSAN,Gram Panchayat
Jhalawar,Anta,1,Ward
Jhalawar,Anta,2,Ward
Jhalawar,Anta,3,Ward
Jhalawar,Anta,4,Ward
Jhalawar,Anta,5,Ward
Jhalawar,Anta,6,Ward
Jhalawar,Anta,7,Ward
Jhalawar,Anta,8,Ward
Jhalawar,Anta,9,Ward
Jhalawar,Anta,10,Ward
Jhalawar,Anta,11,Ward
Jhalawar,Anta,12,Ward
Jhalawar,Anta,13,Ward
Jhalawar,Anta,14,Ward
Jhalawar,Anta,15,Ward
Jhalawar,Anta,16,Ward
Jhalawar,Anta,17,Ward
Jhalawar,Anta,18,Ward
Jhalawar,Anta,19,Ward
Jhalawar,Anta,20,Ward
Jhalawar,Anta,21,Ward
Jhalawar,Anta,22,Ward
Jhalawar,Anta,23,Ward
Jhalawar,Anta,24,Ward
Jhalawar,Anta,25,Ward
Jhalawar,Anta,26,Ward
Jhalawar,Anta,27,Ward
Jhalawar,Anta,28,Ward
Jhalawar,Anta,29,Ward
Jhalawar,Anta,30,Ward
Jhalawar,Anta,31,Ward
Jhalawar,Anta,32,Ward
Jhalawar,Anta,33,Ward
Jhalawar,Anta,34,Ward
Jhalawar,Anta,35,Ward
Jhalawar,Anta,1,Ward
Jhalawar,Anta,2,Ward
Jhalawar,Anta,3,Ward
Jhalawar,Anta,4,Ward
Jhalawar,Anta,5,Ward
Jhalawar,Anta,6,Ward
Jhalawar,Anta,7,Ward
Jhalawar,Anta,8,Ward
Jhalawar,Anta,9,Ward
Jhalawar,Anta,10,Ward
Jhalawar,Anta,11,Ward
Jhalawar,Anta,12,Ward
Jhalawar,Anta,13,Ward
Jhalawar,Anta,14,Ward
Jhalawar,Anta,15,Ward
Jhalawar,Anta,16,Ward
Jhalawar,Anta,17,Ward
Jhalawar,Anta,18,Ward
Jhalawar,Anta,19,Ward
Jhalawar,Anta,20,Ward
Jhalawar,Anta,21,Ward
Jhalawar,Anta,22,Ward
Jhalawar,Anta,23,Ward
Jhalawar,Anta,24,Ward
Jhalawar,Anta,25,Ward
Jhalawar,Anta,26,Ward
Jhalawar,Anta,27,Ward
Jhalawar,Anta,28,Ward
Jhalawar,Anta,29,Ward
Jhalawar,Anta,30,Ward
Jhalawar,Anta,31,Ward
Jhalawar,Anta,32,Ward
Jhalawar,Anta,33,Ward
Jhalawar,Anta,34,Ward
Jhalawar,Anta,35,Ward
Jaipur,Kishanpole,Ward  Name,Gram Panchayat
Jaipur,Kishanpole,55,Ward
Jaipur,Kishanpole,56,Ward
Jaipur,Kishanpole,57,Ward
Jaipur,Kishanpole,58,Ward
Jaipur,Kishanpole,59,Ward
Jaipur,Kishanpole,60,Ward
Jaipur,Kishanpole,61,Ward
Jaipur,Kishanpole,62,Ward
Jaipur,Kishanpole,63,Ward
Jaipur,Kishanpole,64,Ward
Jaipur,Kishanpole,65,Ward
Jaipur,Kishanpole,66,Ward
Jaipur,Kishanpole,67,Ward
Jaipur,Kishanpole,68,Ward
Jaipur,Kishanpole,69,Ward
Jaipur,Kishanpole,70,Ward
Jaipur,Kishanpole,71,Ward
Jaipur,Kishanpole,72,Ward
Jaipur,Kishanpole,73,Ward
Jaipur,Kishanpole,74,Ward
Jaipur,Kishanpole,75,Ward
Jaipur,Civil Lines,31,Ward
Jaipur,Civil Lines,32,Ward
Jaipur,Civil Lines,33,Ward
Jaipur,Civil Lines,34,Ward
Jaipur,Civil Lines,35,Ward
Jaipur,Civil Lines,36,Ward
Jaipur,Civil Lines,37,Ward
Jaipur,Civil Lines,38,Ward
Jaipur,Civil Lines,39,Ward
Jaipur,Civil Lines,40,Ward
Jaipur,Civil Lines,41,Ward
Jaipur,Civil Lines,42,Ward
Jaipur,Civil Lines,43,Ward
Jaipur,Civil Lines,44,Ward
Jaipur,Civil Lines,45,Ward
