LoksabhaName,VidhansabhaName,LocalUnitName,LocalUnitType,CleanedLoksabhaName,CleanedVidhansabhaName,CleanedLocalUnitName
Jhalawar,Anta,TISAYA,Gram Panchayat,Jhalawar,Anta,Tisaya
Jhalawar,Anta,1,Ward,Jhalawar,Anta,1
Jhalawar,Anta,2,Ward,Jhalawar,Anta,2
Jhalawar,Anta,3,Ward,Jhalawar,Anta,3
Jhalawar,Anta,4,Ward,Jhalawar,Anta,4
Jhalawar,Anta,5,Ward,Jhalawar,Anta,5
Jhalawar,Anta,6,Ward,Jhalawar,Anta,6
Jhalawar,Anta,7,Ward,Jhalawar,Anta,7
Jhalawar,Anta,8,Ward,Jhalawar,Anta,8
Jhalawar,Anta,9,Ward,Jhalawar,Anta,9
Jhalawar,Anta,10,Ward,Jhalawar,Anta,10
Jhalawar,Anta,11,Ward,Jhalawar,Anta,11
Jhalawar,Anta,12,Ward,Jhalawar,Anta,12
Jhalawar,Anta,13,Ward,Jhalawar,Anta,13
Jhalawar,Anta,14,Ward,Jhalawar,Anta,14
Jhalawar,Anta,15,Ward,Jhalawar,Anta,15
Jhalawar,Anta,16,Ward,Jhalawar,Anta,16
Jhalawar,Anta,17,Ward,Jhalawar,Anta,17
Jhalawar,Anta,18,Ward,Jhalawar,Anta,18
Jhalawar,Anta,19,Ward,Jhalawar,Anta,19
Jhalawar,Anta,20,Ward,Jhalawar,Anta,20
Jhalawar,Anta,21,Ward,Jhalawar,Anta,21
Jhalawar,Anta,22,Ward,Jhalawar,Anta,22
Jhalawar,Anta,23,Ward,Jhalawar,Anta,23
Jhalawar,Anta,24,Ward,Jhalawar,Anta,24
Jhalawar,Anta,25,Ward,Jhalawar,Anta,25
Jhalawar,Anta,26,Ward,Jhalawar,Anta,26
Jhalawar,Anta,27,Ward,Jhalawar,Anta,27
Jhalawar,Anta,28,Ward,Jhalawar,Anta,28
Jhalawar,Anta,29,Ward,Jhalawar,Anta,29
Jhalawar,Anta,30,Ward,Jhalawar,Anta,30
Jhalawar,Anta,31,Ward,Jhalawar,Anta,31
Jhalawar,Anta,32,Ward,Jhalawar,Anta,32
Jhalawar,Anta,33,Ward,Jhalawar,Anta,33
Jhalawar,Anta,34,Ward,Jhalawar,Anta,34
Jhalawar,Anta,35,Ward,Jhalawar,Anta,35
Tonk-Sawaimadhopur,Sawai Madhopur,Gambheera,Gram Panchayat,Tonk-Sawaimadhopur,Sawai Madhopur,Gambheera
Jaipur Rural,Phulera,SRI RAM PURA,Gram Panchayat,Jaipur Rural,Phulera,Sri Ram Pura
Jaipur Rural,Phulera,CHAIN PURA,Gram Panchayat,Jaipur Rural,Phulera,Chain Pura
Jaipur Rural,Phulera,1,Ward,Jaipur Rural,Phulera,1
Jaipur Rural,Phulera,2,Ward,Jaipur Rural,Phulera,2
Jaipur Rural,Phulera,3,Ward,Jaipur Rural,Phulera,3
Jaipur Rural,Phulera,4,Ward,Jaipur Rural,Phulera,4
Jaipur Rural,Phulera,5,Ward,Jaipur Rural,Phulera,5
Jaipur Rural,Phulera,6,Ward,Jaipur Rural,Phulera,6
Jaipur Rural,Phulera,7,Ward,Jaipur Rural,Phulera,7
Jaipur Rural,Phulera,8,Ward,Jaipur Rural,Phulera,8
Jaipur Rural,Phulera,9,Ward,Jaipur Rural,Phulera,9
Jaipur Rural,Phulera,10,Ward,Jaipur Rural,Phulera,10
Jaipur Rural,Phulera,11,Ward,Jaipur Rural,Phulera,11
Jaipur Rural,Phulera,12,Ward,Jaipur Rural,Phulera,12
Jaipur Rural,Phulera,13,Ward,Jaipur Rural,Phulera,13
Jaipur Rural,Phulera,14,Ward,Jaipur Rural,Phulera,14
Jaipur Rural,Phulera,15,Ward,Jaipur Rural,Phulera,15
Jaipur Rural,Phulera,16,Ward,Jaipur Rural,Phulera,16
Jaipur Rural,Phulera,17,Ward,Jaipur Rural,Phulera,17
Jaipur Rural,Phulera,18,Ward,Jaipur Rural,Phulera,18
Jaipur Rural,Phulera,19,Ward,Jaipur Rural,Phulera,19
Jaipur Rural,Phulera,20,Ward,Jaipur Rural,Phulera,20
Jaipur Rural,Phulera,21,Ward,Jaipur Rural,Phulera,21
Jaipur Rural,Phulera,22,Ward,Jaipur Rural,Phulera,22
Jaipur Rural,Phulera,23,Ward,Jaipur Rural,Phulera,23
Jaipur Rural,Phulera,24,Ward,Jaipur Rural,Phulera,24
Jaipur Rural,Phulera,25,Ward,Jaipur Rural,Phulera,25
Jaipur Rural,Phulera,1,Ward,Jaipur Rural,Phulera,1
Jaipur Rural,Phulera,2,Ward,Jaipur Rural,Phulera,2
Jaipur Rural,Phulera,3,Ward,Jaipur Rural,Phulera,3
Jaipur Rural,Phulera,4,Ward,Jaipur Rural,Phulera,4
Jaipur Rural,Phulera,5,Ward,Jaipur Rural,Phulera,5
Jaipur Rural,Phulera,6,Ward,Jaipur Rural,Phulera,6
Jaipur Rural,Phulera,7,Ward,Jaipur Rural,Phulera,7
Jaipur Rural,Phulera,8,Ward,Jaipur Rural,Phulera,8
Jaipur Rural,Phulera,9,Ward,Jaipur Rural,Phulera,9
Jaipur Rural,Phulera,10,Ward,Jaipur Rural,Phulera,10
Jaipur Rural,Phulera,11,Ward,Jaipur Rural,Phulera,11
Jaipur Rural,Phulera,12,Ward,Jaipur Rural,Phulera,12
Jaipur Rural,Phulera,13,Ward,Jaipur Rural,Phulera,13
Jaipur Rural,Phulera,14,Ward,Jaipur Rural,Phulera,14
Jaipur Rural,Phulera,15,Ward,Jaipur Rural,Phulera,15
Jaipur Rural,Phulera,16,Ward,Jaipur Rural,Phulera,16
Jaipur Rural,Phulera,17,Ward,Jaipur Rural,Phulera,17
Jaipur Rural,Phulera,18,Ward,Jaipur Rural,Phulera,18
Jaipur Rural,Phulera,19,Ward,Jaipur Rural,Phulera,19
Jaipur Rural,Phulera,20,Ward,Jaipur Rural,Phulera,20
Jaipur Rural,Phulera,21,Ward,Jaipur Rural,Phulera,21
Jaipur Rural,Phulera,22,Ward,Jaipur Rural,Phulera,22
Jaipur Rural,Phulera,23,Ward,Jaipur Rural,Phulera,23
Jaipur Rural,Phulera,24,Ward,Jaipur Rural,Phulera,24
Jaipur Rural,Phulera,25,Ward,Jaipur Rural,Phulera,25
Jaipur Rural,Bansur,BAHRAM KA BAS,Gram Panchayat,Jaipur Rural,Bansur,Bahram Ka Bas
Jaipur Rural,Bansur,TOORANA,Gram Panchayat,Jaipur Rural,Bansur,Toorana
Jaipur Rural,Bansur,BAMANWAS KANKAR,Gram Panchayat,Jaipur Rural,Bansur,Bamanwas Kankar
Jaipur Rural,Bansur,GARHI,Gram Panchayat,Jaipur Rural,Bansur,Garhi
Jaipur Rural,Bansur,KOLAHERA,Gram Panchayat,Jaipur Rural,Bansur,Kolahera
Jaipur Rural,Bansur,MUNDAWARA,Gram Panchayat,Jaipur Rural,Bansur,Mundawara
Alwar,Alwar Rural,BAHADURPUR PATTI JORIYA,Gram Panchayat,Alwar,Alwar Rural,Bahadurpur Patti Joriya
Alwar,Alwar Rural,BHANDWARA,Gram Panchayat,Alwar,Alwar Rural,Bhandwara
Alwar,Alwar Rural,MADHO GARH,Gram Panchayat,Alwar,Alwar Rural,Madho Garh
Alwar,Rajgarh Laxmangarh,ALEI,Gram Panchayat,Alwar,Rajgarh Laxmangarh,Alei
Alwar,Rajgarh Laxmangarh,BHAJERA,Gram Panchayat,Alwar,Rajgarh Laxmangarh,Bhajera
Alwar,Rajgarh Laxmangarh,DOROLI,Gram Panchayat,Alwar,Rajgarh Laxmangarh,Doroli
Alwar,Rajgarh Laxmangarh,FIROZPUR JAGEER,Gram Panchayat,Alwar,Rajgarh Laxmangarh,Firozpur Jageer
Alwar,Rajgarh Laxmangarh,PATAN,Gram Panchayat,Alwar,Rajgarh Laxmangarh,Patan
Alwar,Rajgarh Laxmangarh,VABELI,Gram Panchayat,Alwar,Rajgarh Laxmangarh,Vabeli
Alwar,Rajgarh Laxmangarh,CHHILODI,Gram Panchayat,Alwar,Rajgarh Laxmangarh,Chhilodi
Alwar,Rajgarh Laxmangarh,PARBAINI,Gram Panchayat,Alwar,Rajgarh Laxmangarh,Parbaini
Alwar,Tijara,BHINDOOSI,Gram Panchayat,Alwar,Tijara,Bhindoosi
Alwar,Tijara,CHOPANKI,Gram Panchayat,Alwar,Tijara,Chopanki
Alwar,Tijara,GUWALDA,Gram Panchayat,Alwar,Tijara,Guwalda
Alwar,Tijara,HASANPUR MAFI,Gram Panchayat,Alwar,Tijara,Hasanpur Mafi
Alwar,Tijara,Jojaka,Gram Panchayat,Alwar,Tijara,Jojaka
Alwar,Tijara,JORIYA MEV,Gram Panchayat,Alwar,Tijara,Joriya Mev
